"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","Pb206.U238","Pb206.U238_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
"GBJD","GBJD-26",0.0586,0.0012,0.7523,0.0147,0.0933,0.002,575,12,551,21,0.9
"GBJD","GBJD-27",0.078,0.0016,2.095,0.0405,0.195,0.0043,1148,23,1147,19,0.1
"GBJD","GBJD-28",0.0742,0.0012,1.7911,0.0262,0.1752,0.0036,1041,20,1047,20,-0.1
"GBJD","GBJD-29",0.0742,0.0018,1.8018,0.0411,0.1763,0.004,1047,22,1047,21,0.1
"GBJD","GBJD-30",0.1868,0.0028,13.0137,0.1879,0.5059,0.011,2639,47,2714,18,-1.6
"GBJD","GBJD-31",0.0594,0.0012,0.8056,0.0152,0.0985,0.0021,606,12,580,20,1
"GBJD","GBJD-32",0.0502,0.0013,0.2207,0.0053,0.032,7e-04,203,4,202,25,0.5
"GBJD","GBJD-33",0.0589,0.0015,0.7433,0.0179,0.0917,0.002,565,12,563,23,0.2
"GBJD","GBJD-34",0.0563,0.0034,0.624,0.0347,0.0805,0.0027,499,16,465,67,1.4
"GBJD","GBJD-35",0.1069,0.0017,4.5646,0.0683,0.31,0.0065,1741,32,1748,19,-0.1
"GBJD","GBJD-36",0.0597,0.0012,0.7529,0.0141,0.0916,0.0019,565,11,592,20,-0.9
"GBJD","GBJD-37",0.058,0.0023,0.6761,0.0245,0.0846,0.0022,523,13,531,38,-0.2
"GBJD","GBJD-38",0.0792,0.0039,2.1737,0.0993,0.1994,0.0065,1172,35,1176,44,-0.1
"GBJD","GBJD-39",0.0621,0.0014,0.9097,0.0187,0.1063,0.0023,651,13,679,21,-0.9
"GBJD","GBJD-40",0.0594,0.0016,0.7978,0.0194,0.0975,0.0022,600,13,583,24,0.7
"GBJD","GBJD-41",0.0735,9e-04,1.8255,0.0218,0.1803,0.0035,1069,19,1028,21,1.3
"GBJD","GBJD-42",0.0597,8e-04,0.8098,0.0101,0.0985,0.0019,606,11,593,22,0.7
"GBJD","GBJD-43",0.0644,0.0015,1.0844,0.0232,0.1223,0.0027,744,15,755,21,-0.3
"GBJD","GBJD-44",0.0612,0.0015,0.8211,0.0187,0.0975,0.0021,600,13,645,22,-1.5
"GBJD","GBJD-45",0.0777,0.0014,2.08,0.0343,0.1946,0.004,1146,22,1138,19,0.3
"GBJD","GBJD-46",0.0619,9e-04,0.9277,0.0131,0.1089,0.0022,666,13,671,21,0
"GBJD","GBJD-47",0.0731,0.002,1.709,0.0442,0.1699,0.004,1011,22,1016,23,-0.1
"GBJD","GBJD-48",0.0586,0.0012,0.7103,0.0136,0.0881,0.0018,544,11,551,20,-0.2
"GBJD","GBJD-50",0.0804,0.0011,2.2273,0.029,0.2014,0.004,1183,21,1206,20,-0.6
"GBJD","GBJD-51",0.0795,0.0023,2.1567,0.0578,0.1972,0.0048,1160,26,1184,24,-0.6
"GBJD","GBJD-52",0.07,0.0019,1.4621,0.0369,0.1517,0.0035,911,20,929,23,-0.4
"GBJD","GBJD-53",0.0745,0.001,1.7635,0.0222,0.172,0.0034,1023,19,1054,21,-0.9
"GBJD","GBJD-54",0.0755,0.004,1.8988,0.093,0.1827,0.0061,1081,33,1082,49,0
"GBJD","GBJD-55",0.0588,8e-04,0.7965,0.0098,0.0985,0.0019,606,11,558,22,1.8
"GBJD","GBJD-56",0.0534,0.0019,0.4254,0.0141,0.0579,0.0014,363,8,347,36,0.8
"GBJD","GBJD-57",0.0911,0.0037,3.1922,0.1096,0.2542,0.0056,1460,29,1448,79,0.3
"GBJD","GBJD-58",0.0799,0.0029,2.1746,0.0719,0.1978,0.0054,1163,29,1194,30,-0.9
"GBJD","GBJD-59",0.079,0.0021,2.1518,0.052,0.1979,0.0046,1164,25,1172,22,-0.2
"GBJD","GBJD-60",0.0758,0.0017,1.8903,0.0403,0.1812,0.004,1074,22,1089,20,-0.4
"GBJD","GBJD-61",0.1741,0.0022,11.544,0.1419,0.4818,0.0098,2535,42,2597,18,-1.3
"GBJD","GBJD-64",0.0879,0.0019,2.8782,0.059,0.2378,0.0053,1375,28,1381,19,-0.1
"GBJD","GBJD-65",0.0587,0.0025,0.7098,0.0277,0.0879,0.0024,543,14,554,42,-0.4
"GBJD","GBJD-66",0.1077,0.0022,4.6747,0.0893,0.3153,0.0071,1767,35,1762,18,0.2
"GBJD","GBJD-67",0.0792,0.0019,2.1306,0.047,0.1955,0.0044,1151,24,1178,20,-0.7
"GBJD","GBJD-68",0.0591,9e-04,0.7102,0.0105,0.0874,0.0017,540,10,570,20,-0.9
"GBJD","GBJD-69",0.0804,0.0017,2.2438,0.0449,0.203,0.0044,1191,24,1206,19,-0.3
"GBJD","GBJD-70",0.0773,0.0038,2.0445,0.0921,0.1923,0.006,1134,32,1128,45,0.4
"GBJD","GBJD-71",0.1879,0.0031,13.1163,0.2054,0.5074,0.0112,2645,48,2724,18,-1.6
"GBJD","GBJD-72",0.0938,0.0018,3.3891,0.0607,0.2625,0.0057,1503,29,1505,18,0.1
"GBJD","GBJD-73",0.0609,0.0043,0.7974,0.0524,0.0951,0.0033,586,19,636,83,-1.5
"GBJD","GBJD-74",0.0794,0.0048,1.8373,0.1009,0.1681,0.0062,1002,34,1183,55,-5.7
"GBJD","GBJD-75",0.0593,0.001,0.7837,0.0119,0.0961,0.0019,592,11,577,20,0.7
"GBJD","GBJD-76",0.0626,0.0023,0.723,0.0211,0.0838,0.0019,519,11,693,80,-6.4
"GBJD","GBJD-77",0.073,0.0049,1.6173,0.1019,0.1611,0.0057,963,32,1013,72,-1.5
"GBJD","GBJD-78",0.0593,9e-04,0.7713,0.0109,0.0945,0.0019,582,11,578,21,0.2
"GBJD","GBJD-79",0.0599,0.0027,0.7873,0.0325,0.0955,0.0026,588,15,601,45,-0.3
"GBJD","GBJD-80",0.0602,0.0013,0.7038,0.0145,0.085,0.0018,526,11,611,21,-2.9
"GBJD","GBJD-81",0.0837,0.0043,2.1882,0.1019,0.1901,0.0064,1122,35,1285,44,-4.9
"GBJD","GBJD-82",0.0585,0.0012,0.6747,0.0125,0.0838,0.0017,519,10,550,20,-1
"GBJD","GBJD-83",0.0738,0.0017,1.7348,0.0361,0.171,0.0037,1018,20,1035,20,-0.4
"GBJD","GBJD-84",0.0602,0.0014,0.7989,0.017,0.0966,0.002,594,12,609,21,-0.3
"GBJD","GBJD-85",0.0585,0.0018,0.6748,0.0188,0.0839,0.0019,519,11,549,28,-1
"GBJD","GBJD-86",0.0972,0.0013,3.6571,0.0474,0.2736,0.0054,1559,27,1571,19,-0.2
"GBJD","GBJD-87",0.0611,0.0013,0.8515,0.0164,0.1014,0.0021,622,12,642,20,-0.5
"GBJD","GBJD-88",0.1008,0.0014,3.9915,0.0541,0.2879,0.0058,1631,29,1639,19,-0.1
"GBJD","GBJD-89",0.0609,0.0011,0.8525,0.0141,0.1018,0.002,625,12,636,20,-0.2
"GBJD","GBJD-90",0.0582,0.0018,0.6995,0.0205,0.0875,0.002,541,12,535,29,0.4
"GBJD","GBJD-91",0.1073,0.0021,4.4782,0.0827,0.3034,0.0067,1708,33,1755,18,-1.1
